leftEyebrow,rightEyebrow,leftLip,rightLip,lipWidth,lipHeight,label
5.6755867,5.8496065,4.9412313,5.232825,4.194002,1.121114,neutral
5.5956945,5.8249335,4.9555306,4.7361994,3.521636,1.037037,neutral
5.3531313,5.466296,5.040543,5.035244,3.6770594,1.119105,neutral
6.2080846,5.665776,4.0539503,4.219829,2.7467103,0.86161816,neutral
6.4797964,6.274617,4.9626102,4.7965937,3.8829014,1.2770158,neutral
5.7166724,5.202877,4.7504673,4.9079447,3.425021,0.9988681,neutral
5.7238765,5.1876717,4.051402,4.3068542,2.6021352,0.6943892,neutral
5.9336133,5.5056195,5.059845,4.785413,3.7036793,1.180298,neutral
5.8263397,5.569133,4.493051,4.9053316,3.3604739,1.1351916,neutral
5.593587,5.978851,4.844656,4.7256594,3.3326168,1.3326733,neutral
5.1772714,6.040637,4.640324,4.4738765,3.0431356,1,neutral
6.1956053,5.7052755,4.4669967,4.758383,3.368421,0.9531985,neutral
6.1006527,5.5811987,4.808464,4.8374543,3.5680068,0.8620569,neutral
6.4402294,5.4921665,4.8121376,4.677723,3.1908314,1.0476191,neutral
5.701749,5.8207245,4.7107177,4.1849933,2.8635645,1.1504303,neutral
6.5300927,5.8862314,4.7971363,5.1001787,3.6638377,1.1413361,neutral
5.916246,5.533848,4.975013,5.427331,4.020845,1.1578834,neutral
5.360542,5.747221,5.4401956,5.0981627,3.8574722,1.3826658,neutral
6.1349583,6.280874,4.9993362,5.107213,4.100546,1.1976599,neutral
6.193223,5.909245,4.4196157,4.6940274,3.428717,1.0837362,neutral
6.030626,5.7492256,5.3706512,5.5415,4.000236,1.3072432,neutral
5.5717535,5.677273,4.717082,4.6046047,3.2835717,0.8842188,neutral
5.399157,5.5610647,5.052803,4.9097605,3.840936,1.2941103,neutral
5.608269,5.6799774,4.91209,4.898446,3.5228598,0.92705166,neutral
6.8118773,6.5102205,5.4653907,5.624416,4.428534,1.2921591,neutral
6.277144,5.3941784,4.3787427,5.3280296,3.4502788,0.9935599,neutral
6.245432,6.8371763,4.244013,4.134475,2.7984457,0.8335368,neutral
6.113059,6.0920696,4.734924,4.7991486,3.4545455,0.95454544,neutral
5.9094124,5.8797812,4.9771194,4.9685335,3.5184152,0.9566056,neutral
5.8782234,5.7990923,4.109597,4.3337493,2.595094,0.8647471,neutral
6.264424,5.801684,5.664361,6.2014256,4.5339594,1.5299412,neutral
5.4426146,5.3338013,6.844315,7.1596546,5.4924784,2.4399402,neutral
5.216821,5.2682467,6.6011343,6.7964754,5.6143923,2.3079965,neutral
6.0457554,6.1626024,4.8766084,4.9283543,3.5629115,0.8687445,neutral
5.4988847,5.476202,4.9124546,4.9939175,3.3639436,1.4552555,neutral
5.449257,5.616919,5.165937,4.9790454,3.6925082,1.2313701,neutral
6.075453,6.015523,5.0533,5.1621304,3.814514,1.0443763,neutral
5.6978607,5.941759,4.596098,4.35678,2.891331,1.1563362,neutral
6.6941123,6.6074247,4.917831,4.536454,3.6055515,0.91218174,neutral
5.6522245,5.685481,5.132803,5.327145,4.04618,1.2993381,neutral
5.445904,5.771899,4.7851324,4.3941355,3.3523405,0.82608694,neutral
5.7636256,5.8995495,5.170631,4.7515793,3.7013512,1.2509997,neutral
6.06272,5.2212296,4.576254,4.7466154,3.2589896,1.1295121,neutral
5.9960074,6.1825156,4.386638,4.6192064,3.4585845,1.0424997,neutral
5.8683553,5.6577682,4.8734584,4.5979433,3.2809753,1.2406449,neutral
5.387434,5.1094437,5.4787416,5.705158,4.392052,2.0555556,neutral
6.009696,5.835658,4.678512,4.5624447,3.3463748,0.69337523,neutral
6.210205,5.991275,5.2289286,5.0594397,4.095189,1.3991446,neutral
6.3460927,5.8441286,5.166221,5.228012,3.7283812,1.1363636,neutral
6.1381497,5.260741,4.4071875,4.987171,3.4651847,0.9539097,neutral
5.818759,5.890542,5.1994314,4.772981,3.9021811,1.3455507,neutral
6.4530945,5.627927,4.9891253,5.5035124,4.036352,1.146563,neutral
6.1277437,6.147598,4.6404657,4.7034974,3.1666667,0.96666664,neutral
5.809173,5.8802996,4.8815904,4.6904683,3.4880297,1.2638645,neutral
5.3195486,5.176503,4.4533806,4.5346146,2.883509,1.0376943,neutral
6.5941653,6.3459578,4.200371,4.438094,2.8779762,0.87929684,neutral
5.2622204,5.593104,4.7302194,4.773279,3.1773133,0.9611157,neutral
5.800374,5.3737626,4.430417,4.7568626,3.1761732,1.0365933,neutral
6.1828375,6.0046997,4.9704127,4.4530773,3.5084996,1.1703017,neutral
5.4763865,5.5235415,5.4719925,5.1587715,4.0478992,1.4285715,neutral
5.9677715,5.81966,5.58298,5.183984,4.1640306,1.4559193,neutral
5.5417604,5.354458,4.498281,4.858899,3.262279,0.8890506,neutral
6.371789,6.3187084,4.4435196,3.999593,3.0351818,0.8150972,neutral
5.62574,5.304183,4.5487676,5.0903234,3.3501287,1.0411612,neutral
5.4046345,5.297557,4.909985,5.122693,3.175493,1.6402303,neutral
5.3232503,5.208883,4.535209,4.8073444,3.5008452,1.2698134,neutral
5.4525924,5.564273,5.1053963,5.0355425,3.7060537,1.5841503,neutral
5.2181416,5.3776484,4.9534426,4.8872232,3.5395758,1.1247954,neutral
5.955289,5.689347,4.8843317,5.265085,3.9073744,1.0101526,neutral
5.389625,5.350044,4.8776116,4.6091204,3.4002352,0.8809086,neutral
5.9610825,6.0660553,4.9908366,4.8500147,3.6503425,1.15,neutral
5.938668,5.7091002,5.5178747,5.27409,3.9549618,1.3817732,neutral
5.385032,6.0370193,5.449055,4.424242,4.105277,1.0383831,neutral
5.7047625,5.573536,5.149848,5.1070004,3.6719933,1.4178853,neutral
5.5818987,5.2388306,5.220084,5.693165,3.9512658,1.65,neutral
5.3154573,5.530716,4.4138727,4.914618,3.2212532,1.227743,neutral
5.534664,5.54946,4.19743,4.3293915,2.960633,0.8527301,neutral
6.1501656,5.802289,5.0538282,5.289989,3.8153245,1.5012023,neutral
5.4662943,5.800457,5.1404276,5.1985683,4.1082983,1.2675363,neutral
6.1539865,5.8451643,5.3951864,5.2327204,3.85,1.25,neutral
